model,rmse,mae,mape,r2,adj_r2
elasticnet,0.12771216206187821,0.08209727176873209,0.6911504935798524,0.9125968065340491,-1.8260365887324133
stacking,0.1294561922165869,0.0830433203850298,0.6992720274194787,0.9101933609058488,-1.9037479973775557
lasso,0.1304885687186085,0.08342552347124967,0.7026950368707636,0.9087552844825781,-1.9502458017299733
ridge,0.1311859097343836,0.0850637002783928,0.71604110133912,0.9077774409590722,-1.9818627423233321
xgboost,0.13204147044634917,0.08656596294911917,0.7289396332391685,0.9065706148954032,-2.020883451715295
linear,0.13340895626860444,0.0898116377807845,0.7541184149276264,0.904625393460219,-2.0837789447862534
gradient_boosting,0.13618003551461538,0.08797535588989693,0.7392005787884477,0.9006221326354842,-2.213217711452678
lightgbm,0.13699216957290922,0.08935185012590219,0.7525299547940161,0.8994332827547337,-2.251657190930278
random_forest,0.14674460792845884,0.09646974012660423,0.8117090139615764,0.8846049735929492,-2.7311058538279758
